
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
   53078.737 RX    40 0A FF 91
   53099.099 RX    00 58 FF FF
   53109.264 RX    01 00 89 64
   53129.705 RX    00 04 1E FF
   53139.873 RX    00 30 80 80
   53160.311 RX    E7 00 26 00 26 00
   53170.488 RX    26 00 26 00 00 00
   53170.540 TX    80
   53190.859 RX    80 80 1C 04 4C
   53211.214 RX    86 71 71 FF
   53221.497 RX    21 7E 25 00
   53242.434 RX    80 01 00 00
   53252.929 RX    00 1D 81 3E
   53274.522 RX    00 D9 00 37 07 BF
   53284.704 RX    10 00 00
   53284.758 TX    7D
   53305.175 RX    7D 7D 21 40
   53315.380 RX    0A FF 91
   53335.716 RX    00 58 FF FF 01
   53345.930 RX    00 89 64 00
   53366.301 RX    04 1E FF 00
   53386.637 RX    30 80 80 D3 00
   53396.820 RX    26 00 26 00 26 00
   53417.220 RX    26 00 00 00
   53417.269 TX    80
   53427.459 RX    80 80 1C
   53447.790 RX    04 3E 86 71 71
   53457.979 RX    FF 22 7F 25
   53478.600 RX    00 80 01 00
   53498.932 RX    00 00 1D 81
   53509.137 RX    3B 00 D1 00 37
   53529.488 RX    07 BA 10 00 00
   53529.535 TX    7D
   53543.524 RX    7D 7D 21
   53553.760 RX    40 0A FF 91
   53574.155 RX    00 58 FF FF
   53594.658 RX    01 00 89 64
   53604.863 RX    00 04 1E FF
   53625.226 RX    00 30 80 80
   53635.406 RX    CB 00 26 00 26 00 26
   53655.826 RX    00 26 00 00 00
   53655.887 TX    80
   53666.097 RX    80 80 1C
   53686.588 RX    04 2C 86 71 71
   53706.956 RX    FF 21 7F 25
   53717.150 RX    00 80 01 00
   53737.534 RX    00 00 1D
   53747.721 RX    81 38 00 B8 00 37
   53768.099 RX    07 D8 10 00
   53779.069 RX    00
   53779.117 TX    7D
   53799.599 RX    7D 7D 21 40
   53809.808 RX    0A FF 91 00
   53830.185 RX    58 FF FF 01
   53850.568 RX    00 89 64 00
   53860.780 RX    04 1E FF 00
   53881.117 RX    30 80 80 9F 00
   53891.397 RX    26 00 26 00 26 00 26
   53911.913 RX    00 00 00
   53911.963 TX    80
   53922.134 RX    80 80 1C
   53942.548 RX    03 F9 86 71 71
   53962.919 RX    FF 22 80 25
   53973.114 RX    00 80 01 00
   53993.561 RX    00 00 1D 81
   54003.761 RX    35 00 83 00 38
   54024.159 RX    07 D6 10 00 00
   54024.218 TX    7D
   54034.392 RX    7D 7D 21
   54054.786 RX    40 0A FF 91
   54075.199 RX    00 58 FF FF
   54085.420 RX    01 00 89 64
   54105.948 RX    00 04 1E FF
   54116.169 RX    00 30 80 80 70
   54136.482 RX    00 26 00 26 00 26 00
   54146.683 RX    26 00 00 00
   54146.760 TX    80
   54167.149 RX    80 80 1C 03 C5
   54187.523 RX    86 71 71 FF
   54197.711 RX    22 81 25 00
   54218.064 RX    80 01 00 00
   54228.260 RX    00 1D 81 34
   54248.640 RX    00 46 00 3A 07 CD
   54258.824 RX    10 00 00
   54258.868 TX    7D
   54279.200 RX    7D 7D 21 40
   54299.761 RX    0A FF 91 00
   54309.929 RX    58 FF FF 01
   54330.317 RX    00 89 64 00
   54340.535 RX    04 1E FF 00
   54361.023 RX    30 80 80 3A 00 26
   54371.214 RX    00 26 00 26 00 26 00
   54391.566 RX    00 00
   54391.614 TX    80
   54401.782 RX    80 80 1C
   54422.148 RX    03 98 86 71 71
   54442.479 RX    FF 24 81 25
   54452.658 RX    00 80 01 00
   54473.013 RX    00 00 1D 81
   54483.200 RX    33 00 2C 00 3C
   54503.600 RX    07 CA 10 00 00
   54503.657 TX    7D
   54513.829 RX    7D 7D 21
   54534.212 RX    40 0A FF 91
   54554.550 RX    00 58 FF FF
   54564.726 RX    01 00 89 64
   54585.207 RX    00 04 1E FF
   54595.393 RX    00 30 80 80 27
   54615.749 RX    00 26 00 26 00 26 00
   54625.932 RX    26 00 00 00
   54625.987 TX    80
   54646.314 RX    80 80 1C 03 A2
   54666.661 RX    86 71 71 FF
   54676.848 RX    23 82 25 00
   54697.208 RX    80 01 00 00
   54707.374 RX    00 1D 81 33 00
   54727.718 RX    39 00 3A 07 DE 10
   54737.905 RX    00 00
   54737.946 TX    7D
   54758.272 RX    7D 7D 21 40 0A
   54778.639 RX    FF 91 00 58
   54789.248 RX    FF FF 01 00
   54809.623 RX    89 64 00 04
   54819.876 RX    1E FF 00 30
   54840.270 RX    80 80 40 00 26 00
   54850.503 RX    26 00 26 00 26 00 00
   54870.905 RX    00
   54870.949 TX    80
   54891.315 RX    80 80 1C
   54901.516 RX    03 9F 86 71 71
   54921.874 RX    FF 24 82 25
   54932.057 RX    00 80 01 00
   54952.536 RX    00 00 1D 81
   54962.753 RX    33 00 37 00 3A
   54983.146 RX    07 D7 10 00 00
   54983.198 TX    7D
   54993.332 RX    7D 7D 21
   55013.695 RX    40 0A FF 91
   55034.064 RX    00 58 FF FF
   55044.270 RX    01 00 89 64
   55064.672 RX    00 04 1E FF
   55074.900 RX    00 30 80 80 41
   55095.401 RX    00 26 00 26 00 26 00
   55105.650 RX    26 00 00 00
   55105.715 TX    80
   55126.122 RX    80 80 1C 03 A9
   55146.639 RX    86 71 71 FF
   55156.851 RX    24 82 25 00
   55177.287 RX    80 01 00 00
   55187.531 RX    00 1D 81 32
   55207.992 RX    00 3A 00 3A 07 CB
   55218.230 RX    10 00 00
   55218.314 TX    7D
   55238.807 RX    7D 7D 21 40
   55259.580 RX    0A FF 91 00
   55270.003 RX    58 FF FF 01
   55291.325 RX    00 89 64 00
   55301.555 RX    04 1E FF 00
   55321.960 RX    30 80 80 3F 00 26
   55332.171 RX    00 26 00 26 00 26 00 00
   55352.575 RX    00
   55352.628 TX    80
   55362.809 RX    80 80 1C
   55383.291 RX    03 AD 86 71 71
   55393.565 RX    FF 23 83 25
   55414.001 RX    00 80 01 00
   55434.421 RX    00 00 1D 81
   55444.621 RX    31 00 4C 00 3A
   55465.010 RX    07 C3 10 00 00
   55465.063 TX    7D
   55475.250 RX    7D 7D
   55495.642 RX    21 40 0A FF
   55505.835 RX    91 00 58 FF
   55526.212 RX    FF 01 00 89
   55546.584 RX    64 00 04 1E
   55556.775 RX    FF 00 30 80
   55577.241 RX    80 54 00 26 00 26 00
   55587.481 RX    26 00 26 00 00 00
   55587.536 TX    80
   55607.889 RX    80 80 1C
   55618.091 RX    03 BE 86 71 71
   55638.467 RX    FF 23 83 25
   55658.841 RX    00 80 01 00
   55669.034 RX    00 00 1D 81
   55689.384 RX    30 00 59 00 39
   55699.560 RX    07 C4 10 00 00
   55699.602 TX    7D
   55719.936 RX    7D 7D 21
   55730.118 RX    40 0A FF 91 00
   55750.466 RX    58 FF FF 01
   55770.812 RX    00 89 64 00
   55780.989 RX    04 1E FF 00
   55801.375 RX    30 80 80 44 00
   55811.572 RX    26 00 26 00 26 00 26
   55831.922 RX    00 00 00
   55831.985 TX    80
   55842.153 RX    80 80 1C
   55862.473 RX    03 A3 86 71 71
   55882.820 RX    FF 22 83 25
   55893.003 RX    00 80 01 00
   55913.308 RX    00 00 1D 81
   55923.549 RX    2F 00 37 00 3A
   55943.898 RX    07 C4 10 00 00
   55943.938 TX    7D
   55954.104 RX    7D 7D
   55974.476 RX    21 40 0A FF
   55994.825 RX    91 00 58 FF
   56005.006 RX    FF 01 00 89
   56025.372 RX    64 00 04 1E FF
   56035.551 RX    00 30 80 80
   56055.898 RX    37 00 26 00 26 00 26
   56066.100 RX    00 26 00 00 00
   56066.145 TX    80
   56086.578 RX    80 80 1C 03
   56106.978 RX    9A 86 71 71 FF
   56117.170 RX    23 83 25 00
   56137.476 RX    80 01 00 00
   56147.654 RX    00 1D 81 2E
   56168.072 RX    00 2A 00 3E 07 C2
   56178.297 RX    10 00 00
   56178.340 TX    7D
   56198.656 RX    7D 7D 21 40
   56219.011 RX    0A FF 91 00
   56229.197 RX    58 FF FF 01
   56249.539 RX    00 89 64 00
   56259.721 RX    04 1E FF 00
   56280.084 RX    30 80 80 36 00
   56290.264 RX    26 00 26 00 26 00 26 00
   56311.337 RX    00 00
   56311.404 TX    80
   56321.596 RX    80 80 1C
   56341.944 RX    03 A3 86 71 71
   56362.302 RX    FF 23 84 25
   56372.484 RX    00 80 01 00
   56392.862 RX    00 00 1D 81
   56403.047 RX    2D 00 27 00 3E
   56423.522 RX    07 D2 10 00 00
   56423.593 TX    7D
   56433.938 RX    7D 7D 21
   56454.325 RX    40 0A FF 91
   56474.710 RX    00 58 FF FF
   56484.901 RX    01 00 89 64
   56505.320 RX    00 04 1E FF
   56515.529 RX    00 30 80 80 36
   56535.899 RX    00 26 00 26 00 26 00
   56546.097 RX    26 00 00 00
   56546.149 TX    80
   56566.504 RX    80 80 1C 03 9B
   56586.894 RX    87 71 71 FF
   56597.102 RX    22 84 25 00
   56617.534 RX    80 01 00 00
   56627.738 RX    00 1D 81 2D
   56648.237 RX    00 29 00 3E 07 C7 10
   56658.438 RX    00 00
   56658.687 TX    7D
   56679.161 RX    7D 7D 21 40
   56689.397 RX    0A FF 91 00
   56709.860 RX    58 FF FF 01
   56730.260 RX    00 89 64 00
   56740.503 RX    04 1E FF 00
   56760.932 RX    30 80 80 28 00
   56771.239 RX    26 00 26 00 26 00 26 00
   56791.602 RX    00 00
   56791.667 TX    80
   56802.061 RX    80 80 1C
   56822.464 RX    03 8C 86 71 71
   56842.951 RX    FF 22 84 25
   56853.223 RX    00 80 01 00
   56873.713 RX    00 00 1D 81
   56883.915 RX    2D 00 2D 00 3C
   56904.314 RX    07 D9 10 00 00
   56904.368 TX    7D
   56914.535 RX    7D 7D
   56934.899 RX    21 40 0A FF 91
   56945.094 RX    00 58 FF FF
   56965.621 RX    01 00 89 64
   56986.216 RX    00 04 1E FF
   56996.405 RX    00 30 80 80
   57016.763 RX    3A 00 26 00 26 00 26
   57026.944 RX    00 26 00 00 00
   57026.996 TX    80
   57047.315 RX    80 80 1C 03 9C
   57057.620 RX    87 71 71 FF
   57077.984 RX    23 84 25 00
   57098.398 RX    80 01 00 00
   57108.603 RX    00 1D 81 2D
   57128.941 RX    00 2C 00 3F 07 DB
   57139.095 RX    10 00 00
   57139.143 TX    7D
   57159.431 RX    7D 7D 21
   57169.602 RX    40 0A FF 91
   57189.956 RX    00 58 FF FF
   57210.242 RX    01 00 89 64 00
   57220.600 RX    04 1E FF 00
   57240.902 RX    30 80 80 2E 00
   57251.051 RX    26 00 26 00 26 00 26
   57271.291 RX    00 00 00
   57271.352 TX    80
   57281.554 RX    80 80 1C
   57301.857 RX    03 9B 87 71 71
   57312.924 RX    FF 23 84 25
   57333.296 RX    00 80 01 00
   57353.758 RX    00 00 1D 81
   57363.941 RX    2D 00 33 00 3C
   57384.315 RX    07 CE 10 00 00
   57384.360 TX    7D
   57394.520 RX    7D 7D
   57414.814 RX    21 40 0A FF
   57424.961 RX    91 00 58 FF
   57445.248 RX    FF 01 00 89
   57465.641 RX    64 00 04 1E
   57475.811 RX    FF 00 30 80
   57496.323 RX    80 3C 00 26 00 26 00 26
   57506.535 RX    00 26 00 00 00
   57506.597 TX    80
   57526.917 RX    80 80 1C 03
   57537.109 RX    9F 87 71 71 FF
   57557.472 RX    23 84 25 00
   57577.853 RX    80 01 00 00
   57588.039 RX    00 1D 81 2D
   57608.409 RX    00 23 00 40 07 BA
   57618.587 RX    10 00 00
   57618.625 TX    7D
   57638.956 RX    7D 7D 21 40
   57649.192 RX    0A FF 91 00
   57669.548 RX    58 FF FF 01
   57689.900 RX    00 89 64 00
   57700.087 RX    04 1E FF 00
   57720.454 RX    30 80 80 43 00
   57730.631 RX    26 00 26 00 26 00 26 00
   57750.980 RX    00 00
   57751.021 TX    80
   57761.200 RX    80 80
   57781.576 RX    1C 03 9D 87 71 71
   57801.933 RX    FF 22 84 25
   57812.446 RX    00 80 01 00
   57832.775 RX    00 00 1D 81
   57842.960 RX    2D 00 29 00 3E
   57863.315 RX    07 D1 10 00 00
   57863.357 TX    7D
   57873.513 RX    7D 7D 21
   57893.859 RX    40 0A FF 91
   57914.211 RX    00 58 FF FF
   57924.387 RX    01 00 89 64
   57944.728 RX    00 04 1E FF
   57954.910 RX    00 30 80 80 1A
   57975.270 RX    00 26 00 26 00 26 00
   57985.460 RX    26 00 00 00
   57985.501 TX    80
   58005.817 RX    80 80 1C 03 9A
   58026.206 RX    87 71 71 FF
   58036.382 RX    23 84 25 00
   58056.727 RX    80 01 00 00
   58066.923 RX    00 1D 81 2D 00
   58087.287 RX    2C 00 3C 07 D6 10
   58097.473 RX    00 00
   58097.527 TX    7D
   58117.871 RX    7D 7D 21 40
   58138.543 RX    0A FF 91 00
   58149.083 RX    58 FF FF 01
   58169.607 RX    00 89 64 00
   58179.826 RX    04 1E FF 00
   58200.369 RX    30 80 80 2D 00
   58210.631 RX    26 00 26 00 26 00 26 00
   58231.008 RX    00 00
   58231.064 TX    80
   58241.256 RX    80 80
   58261.643 RX    1C 03 99 87 71
   58282.026 RX    71 FF 23 84
   58292.229 RX    25 00 80 01
   58313.383 RX    00 00 00 1D
   58323.573 RX    81 2D 00 1D 00
   58343.947 RX    40 07 C6 10 00 00
   58343.995 TX    7D
   58354.288 RX    7D 7D 21
   58374.696 RX    40 0A FF 91
   58384.993 RX    00 58 FF FF
   58405.799 RX    01 00 89 64
   58426.540 RX    00 04 1E FF
   58436.807 RX    00 30 80 80 2B
   58457.407 RX    00 26 00 26 00 26 00
   58467.716 RX    26 00 00 00
   58467.807 TX    80
   58488.630 RX    80 80 1C
   58499.004 RX    03 A1 87 71 71
   58519.688 RX    FF 23 84 25
   58529.892 RX    00 80 01 00
   58550.605 RX    00 00 1D 81
   58560.881 RX    2D 00 37 00 3A
   58581.787 RX    07 D0 10 00 00
   58581.877 TX    7D
   58602.421 RX    7D 7D 21
   58612.658 RX    40 0A FF 91
   58633.111 RX    00 58 FF FF
   58643.315 RX    01 00 89 64
   58663.701 RX    00 04 1E FF
   58673.881 RX    00 30 80 80
   58694.489 RX    37 00 26 00 26 00 26 00
   58704.677 RX    26 00 00 00
   58704.725 TX    80
   58725.149 RX    80 80 1C 03 91
   58745.790 RX    87 71 71 FF
   58756.263 RX    22 84 25 00
   58776.644 RX    80 01 00 00
   58786.871 RX    00 1D 81 2D
   58807.256 RX    00 2E 00 3C 07 C9
   58817.656 RX    10 00 00
   58817.713 TX    7D
   58838.065 RX    7D 7D 21 40
   58848.343 RX    0A FF 91 00
   58868.731 RX    58 FF FF 01
   58889.073 RX    00 89 64 00
   58899.241 RX    04 1E FF 00
   58919.630 RX    30 80 80 32 00
   58929.821 RX    26 00 26 00 26 00 26 00
   58950.127 RX    00 00
   58950.180 TX    80
   58960.306 RX    80 80 1C
   58980.607 RX    03 89 87 71 71
   59000.911 RX    FF 22 84 25
   59011.069 RX    00 80 01 00
   59031.422 RX    00 00 1D 81
   59041.598 RX    2C 00 24 00 3C
   59061.891 RX    07 D3 10 00 00
   59061.938 TX    7D
   59082.319 RX    7D 7D 21
   59092.546 RX    40 0A FF 91
   59112.904 RX    00 58 FF FF
   59123.086 RX    01 00 89 64
   59143.379 RX    00 04 1E FF
   59153.535 RX    00 30 80 80 22
   59173.826 RX    00 26 00 26 00 26 00
   59184.241 RX    26 00 00 00
   59184.303 TX    80
   59204.572 RX    80 80 1C 03 85 87
   59224.863 RX    71 71 FF 23
   59235.007 RX    84 25 00 80
   59255.313 RX    01 00 00 00
   59265.454 RX    1D 81 2C 00
   59285.717 RX    27 00 3F 07 B6 10
   59305.978 RX    00 00
   59306.007 TX    7D
   59316.130 RX    7D 7D
   59337.164 RX    21 40 0A FF
   59347.287 RX    91 00 58 FF
   59367.564 RX    FF 01 00 89
   59377.699 RX    64 00 04 1E
   59397.950 RX    FF 00 30 80
   59418.197 RX    80 1F 00 26 00 26 00
   59428.282 RX    26 00 26 00 00 00
   59428.315 TX    80
   59448.554 RX    80 80 1C
   59458.693 RX    03 93 87 71 71 FF
   59478.941 RX    23 84 25 00
   59489.095 RX    80 01 00 00
   59509.589 RX    00 1D 81 2C
   59529.941 RX    00 2B 00 3E 07
   59540.142 RX    D2 10 00 00
   59540.189 TX    7D
   59560.513 RX    7D 7D 21
   59570.698 RX    40 0A FF 91
   59591.038 RX    00 58 FF FF
   59601.208 RX    01 00 89 64
   59621.557 RX    00 04 1E FF
   59641.876 RX    00 30 80 80 35
   59652.043 RX    00 26 00 26 00 26 00
   59672.403 RX    26 00 00 00
   59672.453 TX    80
   59682.609 RX    80 80
   59702.927 RX    1C 03 8D 87 71
   59713.128 RX    71 FF 23 84
   59733.463 RX    25 00 80 01 00
   59753.819 RX    00 00 1D
   59763.991 RX    81 2C 00 29 00 3E
   59784.312 RX    07 BB 10 00 00
   59784.355 TX    7D
   59794.552 RX    7D 7D 21
   59814.890 RX    40 0A FF 91
   59824.972 RX    00 58 FF FF
   59845.403 RX    01 00 89 64
   59865.774 RX    00 04 1E FF
   59876.008 RX    00 30 80 80 2E
   59896.487 RX    00 26 00 26 00 26 00
   59906.689 RX    26 00 00 00
   59906.745 TX    80
   59927.135 RX    80 80 1C 03 A6
   59937.310 RX    87 71 71 FF
   59957.670 RX    22 84 25 00
   59977.983 RX    80 01 00 00
   59988.147 RX    00 1D 81 2C
   60008.528 RX    00 2D 00 3C 07 D1
   60018.721 RX    10 00 00
   60018.767 TX    7D
   60039.287 RX    7D 7D 21
   60049.461 RX    40 0A FF 91
   60069.894 RX    00 58 FF FF
   60080.224 RX    01 00 89 64
   60100.624 RX    00 04 1E FF
   60121.099 RX    00 30 80 80
   60131.409 RX    1F 00 26 00 26 00 26 00
   60151.913 RX    26 00 00 00
   60152.001 TX    80
   60162.240 RX    80 80
   60182.748 RX    1C 03 95 87 71
   60193.025 RX    71 FF 22 84
   60213.520 RX    25 00 80 01
   60234.011 RX    00 00 00 1D
   60244.228 RX    81 2C 00 32 00
   60264.597 RX    3C 07 D2 10 00
   60274.804 RX    00
   60274.850 TX    7D
   60295.302 RX    7D 7D 21 40
   60305.507 RX    0A FF 91 00
   60326.013 RX    58 FF FF 01
   60336.714 RX    00 89 64 00
   60357.220 RX    04 1E FF 00
   60377.717 RX    30 80 80 31 00
   60387.950 RX    26 00 26 00 26 00 26 00
   60408.448 RX    00 00
   60408.495 TX    80
   60418.661 RX    80 80
   60439.173 RX    1C 03 93 87 71
   60449.536 RX    71 FF 23 84
   60469.898 RX    25 00 80 01
   60480.213 RX    00 00 00 1D
   60500.567 RX    81 2B 00 2D 00
   60521.051 RX    3C 07 BE 10 00
   60531.359 RX    00
   60531.424 TX    7D
   60551.815 RX    7D 7D 21
   60562.133 RX    40 0A FF 91 00
   60582.509 RX    58 FF FF 01
   60592.718 RX    00 89 64 00
   60613.385 RX    04 1E FF 00
   60633.832 RX    30 80 80 32 00
   60644.100 RX    26 00 26 00 26 00 26
   60664.561 RX    00 00 00
   60664.617 TX    80
   60674.780 RX    80 80 1C
   60695.242 RX    03 A5 87 71 71
   60705.516 RX    FF 23 85 25
   60725.918 RX    00 80 01 00
   60736.246 RX    00 00 1D 81
   60756.662 RX    2B 00 26 00 3F
   60777.249 RX    07 B7 10 00 00
   60777.307 TX    7D
   60787.608 RX    7D 7D
   60808.449 RX    21 40 0A FF
   60818.647 RX    91 00 58 FF
   60839.086 RX    FF 01 00 89
   60849.331 RX    64 00 04 1E
   60869.748 RX    FF 00 30 80
   60879.952 RX    80 35 00 26 00 26
   60900.318 RX    00 26 00 26 00 00 00
   60900.370 TX    80
   60920.801 RX    80 80 1C
   60931.006 RX    03 91 87 71 71
   60951.656 RX    FF 22 85 25
   60961.879 RX    00 80 01 00
   60982.254 RX    00 00 1D 81
   60992.530 RX    2A 00 1B 00 42
   61012.912 RX    07 BD 10 00 00
   61012.983 TX    7D
   61033.330 RX    7D 7D 21
   61043.537 RX    40 0A FF 91
   61064.012 RX    00 58 FF FF
   61074.289 RX    01 00 89 64
   61094.660 RX    00 04 1E FF
   61104.863 RX    00 30 80 80 27
   61125.383 RX    00 26 00 26 00 26 00
   61135.657 RX    26 00 00 00
   61135.753 TX    80
   61156.170 RX    80 80 1C 03 92
   61176.621 RX    87 71 71 FF
   61186.820 RX    22 85 25 00
   61207.454 RX    80 01 00 00
   61217.647 RX    00 1D 81 2A
   61238.022 RX    00 1C 00 42 07 C1
   61248.237 RX    10 00 00
   61248.298 TX    7D
   61268.786 RX    7D 7D 21 40
   61289.164 RX    0A FF 91 00
   61299.370 RX    59 FF FF 01
   61319.796 RX    00 89 64 00
   61329.998 RX    04 1E FF 00
   61351.010 RX    30 80 80 22 00
   61361.285 RX    26 00 26 00 26 00 26 00
   61381.892 RX    00 00
   61381.977 TX    80
   61392.298 RX    80 80
   61412.830 RX    1C 03 93 87 71
   61433.186 RX    71 FF 23 85
   61443.385 RX    25 00 80 01
   61463.799 RX    00 00 00 1D
   61473.985 RX    81 2A 00 1E 00
   61494.319 RX    41 07 C6 10 00
   61504.540 RX    00
   61504.602 TX    7D
   61524.987 RX    7D 7D 21 40
   61545.315 RX    0A FF 91 00
   61555.501 RX    58 FF FF 01
   61575.844 RX    00 89 64 00
   61586.037 RX    04 1E FF 00
   61606.382 RX    30 80 80 2D 00
   61616.564 RX    26 00 26 00 26 00 26 00
   61636.939 RX    00 00
   61636.983 TX    80
   61657.363 RX    80 80
   61667.561 RX    1C 03 9D 87 71
   61687.913 RX    71 FF 23 85
   61698.105 RX    25 00 80 01 00
   61718.492 RX    00 00 1D 81
   61728.678 RX    2A 00 10 00
   61749.063 RX    43 07 D5 10 00
   61769.420 RX    00
   61769.460 TX    7D
   61779.621 RX    7D 7D
   61799.986 RX    21 40 0A FF
   61810.168 RX    91 00 59 FF
   61830.473 RX    FF 01 00 89
   61841.516 RX    64 00 04 1E
   61861.897 RX    FF 00 30 80
   61872.094 RX    80 25 00 26 00 26 00
   61892.475 RX    26 00 26 00 00 00
   61892.545 TX    80
   61912.910 RX    80 80 1C
   61923.091 RX    03 87 87 71 71
   61943.528 RX    FF 23 85 25
   61953.715 RX    00 80 01 00
   61974.143 RX    00 00 1D 81
   61984.321 RX    2A 00 1D 00 41
   62004.670 RX    07 BE 10 00 00
   62004.730 TX    7D
   62025.068 RX    7D 7D 21
   62035.266 RX    40 0A FF 91
   62055.643 RX    00 58 FF FF
   62065.865 RX    01 00 89 64
   62086.352 RX    00 04 1E FF
   62096.604 RX    00 30 80 80 1F
   62116.999 RX    00 26 00 26 00 26 00
   62137.393 RX    26 00 00 00
   62137.454 TX    80
   62147.608 RX    80 80
   62167.995 RX    1C 03 9A 87 71
   62178.499 RX    71 FF 23
   62198.967 RX    85 25 00 80 01
   62209.422 RX    00 00 00 1D
   62229.860 RX    81 2A 00 31 00
   62240.078 RX    3C 07 C8 10 00
   62260.461 RX    00
   62260.509 TX    7D
   62280.891 RX    7D 7D 21
   62291.100 RX    40 0A FF 91
   62311.490 RX    00 59 FF FF
   62321.702 RX    01 00 89 64
   62341.942 RX    00 04 1E FF
   62352.127 RX    00 30 80 80 36
   62372.558 RX    00 26 00 26 00 26 00
   62392.955 RX    26 00 00 00
   62393.017 TX    80
   62403.214 RX    80 80
   62423.670 RX    1C 03 95 87 71
   62433.859 RX    71 FF 22 85
   62454.260 RX    25 00 80 01
   62464.392 RX    00 00 00 1D
   62484.726 RX    81 29 00 2D 00
   62505.010 RX    3C 07 B6 10 00
   62515.153 RX    00
   62515.199 TX    7D
   62535.490 RX    7D 7D 21
   62545.634 RX    40 0A FF 91
   62565.919 RX    00 59 FF FF
   62576.097 RX    01 00 89 64
   62596.423 RX    00 04 1E FF
   62616.701 RX    00 30 80 80 23
   62626.908 RX    00 26 00 26 00 26 00
   62647.312 RX    26 00 00 00
   62647.397 TX    80
   62657.718 RX    80 80
   62678.070 RX    1C 03 8F 87 71
   62688.216 RX    71 FF 22 85
   62708.501 RX    25 00 80 01
   62728.795 RX    00 00 00 1D
   62738.938 RX    81 29 00 2D 00
   62759.235 RX    3E 07 BE 10 00
   62769.386 RX    00
   62769.427 TX    7D
   62789.683 RX    7D 7D 21 40
   62799.828 RX    0A FF 91 00
   62820.092 RX    59 FF FF 01
   62840.349 RX    00 89 64 00
   62850.584 RX    04 1E FF 00
   62871.134 RX    30 80 80 23 00
   62881.312 RX    26 00 26 00 26 00 26 00
   62901.647 RX    00 00
   62901.701 TX    80
   62911.899 RX    80 80
   62932.305 RX    1C 03 8F 87 71
   62952.653 RX    71 FF 22 85
   62962.837 RX    25 00 80 01
   62983.213 RX    00 00 00 1D
   62993.376 RX    81 29 00 39 00
   63013.740 RX    3A 07 C4 10 00
   63023.947 RX    00
   63023.993 TX    7D
   63044.325 RX    7D 7D 21 40
   63064.683 RX    0A FF 91 00 59
   63074.881 RX    FF FF 01
   63095.254 RX    00 89 64 00
   63105.600 RX    04 1E FF 00
   63125.981 RX    30 80 80 18 00
   63136.183 RX    26 00 26 00 26 00 26 00
   63156.549 RX    00 00
   63156.602 TX    80
   63176.953 RX    80 80 1C
   63187.237 RX    03 74 87 71 71
   63207.599 RX    FF 22 85
   63217.874 RX    25 00 80 01
   63238.254 RX    00 00 00 1D
   63248.372 RX    81 29 00 15 00
   63268.723 RX    43 07 BA 10 00
   63289.249 RX    00
   63289.303 TX    7D
   63299.468 RX    7D 7D
   63319.885 RX    21 40 0A FF
   63330.104 RX    91 00 59 FF
   63350.467 RX    FF 01 00 89
   63361.322 RX    64 00 04 1E
   63381.718 RX    FF 00 30 80
   63391.910 RX    80 25 00 26 00 26 00
   63412.315 RX    26 00 26 00 00 00
   63412.416 TX    80
   63432.781 RX    80 80 1C
   63442.993 RX    03 97 87 71 71
   63463.378 RX    FF 22 85 25
   63473.639 RX    00 80 01 00
   63494.070 RX    00 00 1D 81
   63504.262 RX    29 00 2A 00 3C
   63524.650 RX    07 B0 10 00 00
   63524.702 TX    7D
   63545.122 RX    7D 7D 21
   63555.459 RX    40 0A FF 91
   63575.880 RX    00 59 FF FF
   63586.102 RX    01 00 89 64
   63606.633 RX    00 04 1E FF
   63616.919 RX    00 30 80 80 2B
   63637.542 RX    00 26 00 26 00 26 00
   63647.741 RX    26 00 00 00
   63647.803 TX    80
   63668.239 RX    80 80 1C 03 97
   63688.685 RX    87 71 71 FF
   63698.887 RX    22 85 25 00
   63719.465 RX    80 01 00 00
   63729.641 RX    00 1D 81 29
   63749.992 RX    00 19 00 42 07 BE
   63760.208 RX    10 00 00
   63760.287 TX    7D
   63780.675 RX    7D 7D 21 40
   63801.069 RX    0A FF 91 00
   63811.315 RX    5A FF FF 01 00
   63831.741 RX    89 64 00
   63841.956 RX    04 1E FF 00
   63863.026 RX    30 80 80 29 00
   63873.263 RX    26 00 26 00 26 00 26 00
   63893.679 RX    00 00
   63893.745 TX    80
   63903.966 RX    80 80 1C
   63924.450 RX    03 8B 87 71 71
   63944.983 RX    FF 22 85 25
   63955.217 RX    00 80 01 00
   63975.668 RX    00 00 1D 81
   63985.928 RX    29 00 21 00 40
   64006.407 RX    07 BE 10 00 00
   64006.480 TX    7D
   64016.808 RX    7D 7D 21
   64037.327 RX    40 0A FF 91
   64047.547 RX    00 5A FF FF
   64068.147 RX    01 00 89 64
   64088.534 RX    00 04 1E FF
   64098.790 RX    00 30 80 80 27
   64119.241 RX    00 26 00 26 00 26 00
   64129.394 RX    26 00 00 00
   64129.451 TX    80
   64149.898 RX    80 80 1C 03 8D
   64160.230 RX    87 71 71 FF
   64180.603 RX    22 85 25 00
   64200.977 RX    80 01 00 00
   64211.170 RX    00 1D 81 28
   64231.823 RX    00 1A 00 41 07 BC
   64242.193 RX    10 00 00
   64242.858 TX    7D
   64263.456 RX    7D 7D 21
   64273.649 RX    40 0A FF 91
   64294.018 RX    00 5A FF FF
