
=== open /dev/ttyUSB0 9600 8N1 at 2026-07-27T11:41:57.406272704+02:00
       0.065 CFG   read timeout 500ms
    6674.232 RX    7D 7D 21 40 0A
    6694.669 RX    FF 91 00 58
    6704.921 RX    FF FF 01 00 89
    6725.408 RX    64 00 00 29 FF
    6735.603 RX    00 30 80 7C 95 00
    6755.993 RX    26 00 26 00 26 00 26 00 00
    6766.284 RX    00
    6766.330 TX    80
    6786.667 RX    80 80 1C 00 00 86
    6807.055 RX    72 72 FF 65 78
    6817.283 RX    25 00 80 01 00
    6837.829 RX    00 00 1D 81 4F
    6848.073 RX    03 6B 00 30 0C B2
    6868.604 RX    00 00 00
    6868.655 TX    7D
    6878.837 RX    7D 7D 21
    6899.230 RX    40 0A FF 91 00
    6919.592 RX    58 FF FF 01 00
    6929.818 RX    89 64 00 00 29
    6950.210 RX    FF 00 30 80
    6960.397 RX    7C 95 00 26 00 26 00 26 00
    6980.756 RX    26 00 00 00
    6980.801 TX    80
    6990.964 RX    80 80 1C
    7011.300 RX    00 00 86 72 72 FF
    7021.615 RX    65 78 25 00 80
    7042.031 RX    01 00 00 00
    7062.543 RX    1D 81 4F 03 6B 00
    7072.769 RX    30 0C B2 00 00 00
    7072.834 TX    7D
    7093.209 RX    7D 7D 21 40
    7103.415 RX    0A FF 91 00 58
    7123.799 RX    FF FF 01 00
    7133.984 RX    89 64 00 00 29
    7154.413 RX    FF 00 30 80 7C 95
    7174.820 RX    00 26 00 26 00 26 00 26
    7185.033 RX    00 00 00
    7185.078 TX    80
    7205.408 RX    80 80 1C
    7215.602 RX    00 00 86 72 72 FF
    7235.943 RX    65 78 25 00 80
    7246.134 RX    01 00 00 00 1D
    7266.451 RX    81 4F 03 6B 00 30
    7286.844 RX    0C B2 00 00 00
    7286.896 TX    7D
    7297.076 RX    7D 7D
    7317.505 RX    21 40 0A FF 91
    7327.690 RX    00 58 FF FF 01
    7348.053 RX    00 89 64 00 00
